title,telecommuting,has_company_logo,has_questions,employment_type,fraudulent,in_balanced_dataset,country,industry_group,edu_level
Customer Service Associate,0,1,0,Full-time,0,0,US,Finance,High School
English Teacher Abroad,0,1,1,Contract,0,0,US,Education,Bachelor
Customer Service Team Lead,0,1,0,Full-time,0,0,US,Unknown,High School
"Food Production Manager @ PGI, a Food Production Company",0,1,0,Full-time,0,0,US,Consumer_Retail,High School
Administrative/Front Desk,0,1,0,Full-time,0,0,US,Education,High School
Payroll Tax Specialist,0,1,0,Full-time,0,0,US,Tech,Unknown
Technical Project Manager,0,0,0,Full-time,0,0,US,Finance,Bachelor
Outside Sales Professional-St. Cloud,0,1,0,Unknown,0,0,US,Unknown,Unknown
Junior HR Marketing Manager,0,1,1,Unknown,0,0,PL,Unknown,Unknown
Outside Sales Professional-Oronoco,0,1,0,Unknown,0,0,US,Unknown,Unknown
Intensive Case Management Worker (Bilingual Essential),0,1,1,Unknown,0,0,CA,Health_Science,Bachelor
Marketing Guru,0,1,0,Full-time,0,0,US,Tech,Bachelor
Product Visual Designer,0,1,1,Full-time,0,0,US,Tech,Unknown
Graduates: English Teacher Abroad (Conversational),0,1,1,Contract,0,0,US,Education,Bachelor
Bulk Ingredient Unloader,0,1,1,Full-time,0,0,US,Consumer_Retail,High School
English Teacher Abroad,0,1,1,Contract,0,0,US,Education,Bachelor
Customer Services Associate - Mail and Document Preparation,0,1,0,Full-time,0,0,US,Health_Science,High School
SENIOR FINANCE SOFTWARE RESEARCHER AND ENGINEER,0,0,0,Unknown,0,0,US,Unknown,Unknown
Digital Developer,0,1,1,Full-time,0,0,NZ,Tech,Unknown
AS3 / Flash Developer,0,1,1,Unknown,0,0,GR,Unknown,Unknown
Production Supervisor,0,0,0,Full-time,0,0,US,Unknown,Unknown
New Product Development Project Leader,0,0,0,Full-time,0,0,US,Unknown,Unknown
Ruby Automation Engineer & Ruby on Rails Engineer - 2 roles,0,0,1,Contract,0,0,US,Unknown,Unknown
Tasting Adventures Presenter,0,1,0,Unknown,0,0,GB,Unknown,Unknown
Branch Associate,0,1,1,Full-time,0,0,US,Finance,High School
Customer Service Associate - Part Time,0,1,0,Part-time,0,0,US,Finance,High School
Specialist Obs/Gyn,0,0,0,Full-time,0,0,AE,Health_Science,Unknown
Call Attendant - Part Time,0,1,0,Part-time,0,0,US,Finance,High School
Senior Full-Stack Engineer - Ruby on Rails (Technical Lead),0,1,1,Full-time,0,0,DE,Education,Master/PhD
Medical Coder,0,1,1,Full-time,0,0,US,Health_Science,High School
Mid-Senior .NET or Xamarin Developer,0,0,0,Full-time,0,0,US,Tech,Bachelor
200K + MANAGEMENT POSITION FOR EXPERIENCED MERCHANT CASH ADVANCE REPS,1,0,0,Full-time,0,0,US,Finance,Unknown
Product Manager,0,1,1,Full-time,0,0,NZ,Tech,Bachelor
English Teacher Abroad,0,1,1,Contract,0,0,US,Education,Bachelor
Customer Service Technical Specialist,0,1,0,Full-time,0,0,US,Finance,High School
Edinburgh Fragrance and Beauty Promotional Staff,0,1,1,Temporary,0,0,GB,Consumer_Retail,Unknown
Mail Processing Associate - General Clerk 1,0,1,0,Full-time,0,0,US,Consumer_Retail,High School
Customer Service Associate,0,1,0,Part-time,0,0,US,Unknown,High School
Research Associate,0,1,1,Full-time,0,0,US,Finance,Bachelor
Customer Service Team Lead,0,1,0,Full-time,0,0,US,Health_Science,High School
Customer Service Associate - On Call,0,1,0,Full-time,0,0,US,Finance,High School
Sales and Partnerships Intern,0,1,1,Unknown,0,0,GR,Unknown,Unknown
English Teacher Abroad,0,1,1,Contract,0,0,CA,Education,Bachelor
Marketing Manager,0,1,0,Full-time,0,0,US,Corporate_Services,Bachelor
Recruitment Consultant,0,1,0,Full-time,0,0,GB,Corporate_Services,Unknown
WAH Customer Service Repersentative,1,0,0,Full-time,0,0,US,Consumer_Retail,High School
Administrative Assistant,0,1,0,Full-time,0,0,US,Finance,High School
WF17 9LU Customer Service Apprenticeship under NAS 16-18 year olds only!,0,1,1,Full-time,0,0,GB,Unknown,High School
Senior Marketing Manager,0,1,0,Full-time,0,0,US,Tech,Master/PhD
Software Test Engineer [QA]: Cucumber / LAMP / Automation / Jenkins  / Web Testing / Financial Startup,0,1,0,Full-time,0,0,GB,Finance,Bachelor
Customer Service Associate,0,1,0,Full-time,0,0,US,Consumer_Retail,High School
IC&E Technician,0,1,1,Full-time,1,0,US,Industrial_Energy,High School
English Teacher Abroad,0,1,1,Contract,0,0,US,Education,Bachelor
CAD Operator,0,1,0,Unknown,0,0,US,Unknown,Unknown
English Teacher Abroad,0,1,1,Contract,0,0,CA,Education,Bachelor
Marketing Administrator,1,1,0,Full-time,0,0,GB,Tech,Bachelor
Customer Service Associate - Part Time,0,1,0,Full-time,0,0,US,Finance,High School
Shipping Clerk,0,0,0,Unknown,0,0,US,Unknown,Unknown
Manager of Support Services,1,1,1,Full-time,0,0,US,Tech,Bachelor
Gatwick Customer Service Apprenticeship 16-18 Year Olds Only,0,1,1,Full-time,0,0,GB,Unknown,High School
Senior Developer at a Startup Investment Studio,0,1,0,Full-time,0,0,GB,Finance,Unknown
Software Project Manager,0,0,1,Full-time,0,0,US,Tech,Unknown
Director of Client Engagement,0,1,0,Full-time,0,0,US,Corporate_Services,Bachelor
Customer Services Associate - Data Entry,0,1,0,Full-time,0,0,US,Health_Science,High School
Customer Service Associate - Part Time,0,1,0,Part-time,0,0,US,Health_Science,High School
Customer Service Associate - Part Time,0,1,0,Part-time,0,0,US,Finance,High School
Operations Manager,0,1,0,Full-time,0,0,GB,Logistics_Travel,Unknown
Regional Sales Director - West,1,1,0,Unknown,0,0,US,Unknown,Unknown
Birmingham Business Admin Apprenticeship Under NAS 16-18 Year Olds Only,0,1,1,Unknown,0,0,GB,Corporate_Services,High School
Executive Assistant,0,1,1,Full-time,0,0,US,Tech,Bachelor
Materials Manager,0,1,1,Unknown,0,0,US,Unknown,Unknown
"Member of Technical Staff, Backend",0,1,0,Full-time,0,0,US,Tech,Unknown
English Teacher Abroad,0,1,1,Contract,0,0,US,Education,Bachelor
Executive Administrative Assistant,0,1,0,Full-time,0,0,US,Consumer_Retail,High School
Smart-Meter Expert,0,1,1,Full-time,0,0,DE,Unknown,Unknown
English Teacher Abroad,0,1,1,Contract,0,0,CA,Education,Bachelor
English Teacher Abroad,0,1,1,Contract,0,0,US,Education,Bachelor
Customer Service Associate - Part Time,0,1,0,Part-time,0,0,US,Education,High School
Marketing Associate,0,1,1,Full-time,0,0,US,Corporate_Services,Bachelor
Game & Feature Specialist,0,1,0,Full-time,0,0,GR,Tech,Unknown
Pharmaceutical / Compound Sales Representative- Georgia,0,1,1,Full-time,0,0,US,Health_Science,Unknown
Precision Ag Intern Spring 2015 $2000 Per Month,0,1,1,Temporary,0,0,US,Unknown,Associate/Vocational
Customer Service Associate,0,1,0,Full-time,0,0,US,Unknown,High School
Customer Service Associate - Call Attendant,0,1,0,Full-time,0,0,US,Finance,High School
Milton Keynes Fragrance and Beauty Promotional Staff,0,1,1,Temporary,0,0,GB,Consumer_Retail,Unknown
Senior Java Developer,0,1,0,Full-time,0,0,GB,Tech,Unknown
English Teacher Abroad,0,1,1,Contract,0,0,US,Education,Bachelor
Senior Business Development Manager,0,1,0,Full-time,0,0,GB,Finance,Bachelor
English Teacher Abroad,0,1,1,Contract,0,0,US,Education,Bachelor
Customer Service Associate,0,1,0,Full-time,0,0,US,Unknown,High School
Head of Marketing (option CMO),0,1,1,Unknown,0,0,DE,Unknown,Unknown
Customer Service Technical Specialist- Reprographics Specialist,0,1,0,Full-time,0,0,US,Finance,High School
Customer Service Associate,0,1,0,Full-time,0,0,US,Unknown,High School
English Teacher Abroad,0,1,1,Contract,0,0,US,Education,Bachelor
Customer Service Associate,0,1,0,Full-time,0,0,US,Corporate_Services,High School
BI Developer,0,1,0,Unknown,0,0,IL,Unknown,Unknown
English Teacher Abroad (Conversational),0,1,1,Contract,0,0,US,Education,Bachelor
Forward Cap.,0,0,0,Unknown,1,1,Unspecified,Unknown,Unknown
.NET Web Developer,0,1,0,Full-time,0,0,GR,Tech,Unknown
Customer Service Associate,0,1,0,Full-time,0,0,US,Unknown,High School
CNC Programmer,0,0,0,Full-time,0,0,US,Unknown,Unknown
UI/UX developer at StartTech Ventures,0,1,1,Full-time,0,0,GR,Tech,Bachelor
Account Executive - Philadelphia,0,1,0,Full-time,0,0,US,Tech,Bachelor
Web Developer,0,1,0,Full-time,0,0,US,Corporate_Services,Unknown
English Teacher Abroad,0,1,1,Contract,0,0,US,Education,Bachelor
Digital Sales Manager - High End Decor,0,1,0,Full-time,0,0,US,Consumer_Retail,Bachelor
Senior Project Manager,0,1,1,Full-time,0,0,GB,Tech,Bachelor
Production Operator $16.50/hr,0,0,0,Contract,0,0,US,Industrial_Energy,High School
Customer Service Professional - Property Management Industry Exp.,0,0,0,Full-time,0,0,US,Unknown,High School
Choose Your Own Adventure,0,1,0,Unknown,0,0,US,Unknown,Unknown
English Teacher Abroad,0,1,1,Contract,0,0,US,Education,Bachelor
Customer Support Professional,1,0,1,Contract,0,0,US,Unknown,Unknown
General Laborers,0,1,1,Unknown,0,0,US,Unknown,Unknown
Field Services Supervisor,0,0,0,Full-time,0,0,US,Industrial_Energy,High School
VP of Engineering,0,0,1,Full-time,0,0,US,Unknown,Bachelor
Account Manager (Fashion),0,1,0,Full-time,0,0,AU,Corporate_Services,Unknown
Customer Service Associate - Data Entry,0,1,0,Full-time,0,0,US,Consumer_Retail,High School
Marketing Executive,0,1,0,Full-time,0,0,EG,Unknown,Bachelor
Sales and Marketing Intern,0,1,1,Full-time,0,0,GB,Tech,Bachelor
Exports Area Manager,0,0,0,Full-time,0,0,GR,Consumer_Retail,Master/PhD
Entry Level Sales,0,0,0,Full-time,0,0,US,Finance,High School
Marketing Sales Assistant,0,1,0,Full-time,0,0,GR,Corporate_Services,Bachelor
Customer Service Team Lead,0,1,0,Full-time,0,0,US,Finance,High School
Micro-grid Systems Engineer,0,1,1,Full-time,0,0,DE,Unknown,Unknown
System Administrator,0,1,0,Full-time,0,0,GB,Corporate_Services,Associate/Vocational
Registrar's in Psychiatry,0,1,0,Full-time,0,0,AU,Health_Science,Unknown
Technician Instrument & Controls,0,1,1,Full-time,1,0,US,Industrial_Energy,Associate/Vocational
Newcastle Fragrance and Beauty Promotional Staff,0,1,1,Full-time,0,0,US,Consumer_Retail,Unknown
Customer Service Associate - Part Time,0,1,0,Part-time,0,0,US,Finance,High School
English Teacher Abroad,0,1,1,Contract,0,0,US,Education,Bachelor
Underwriter,0,1,1,Unknown,0,0,US,Finance,High School
Director of Strategic Planning,0,1,1,Full-time,0,0,US,Corporate_Services,Bachelor
Internal Recruiter,0,1,1,Full-time,0,0,GB,Tech,Bachelor
Sales Executive,0,0,0,Unknown,1,1,PK,Unknown,Unknown
English Teacher Abroad,0,1,1,Contract,0,0,US,Education,Bachelor
Facilities Engineer,0,1,1,Full-time,0,0,US,Industrial_Energy,Unknown
"Manager of Patient Care-Women/Families/Baby (Near Oshkosh, WI)",0,0,0,Full-time,0,0,US,Health_Science,Bachelor
Growth Wunderkind (paid internship),0,1,0,Unknown,0,0,GB,Unknown,Unknown
Reading Fragrance/Beauty Promotional Staff,0,1,0,Unknown,0,0,GB,Consumer_Retail,Unknown
Receptionist,0,1,0,Full-time,0,0,US,Corporate_Services,High School
Medical Scribe (Testing),0,1,1,Part-time,0,0,US,Health_Science,Associate/Vocational
English Teacher Abroad,0,1,1,Contract,0,0,US,Education,Bachelor
English Teacher Abroad,0,1,1,Contract,0,0,US,Education,Bachelor
Entry Level Sales,0,0,0,Full-time,0,0,US,Finance,High School
Technical Co-Founder,0,0,0,Unknown,0,0,US,Unknown,Unknown
"Manager, Network Engineering ",0,0,0,Full-time,0,0,US,Health_Science,Bachelor
Sales and Operations Associate,0,0,1,Full-time,0,0,GR,Logistics_Travel,Unknown
Marketing Manager,0,1,0,Unknown,0,0,GB,Unknown,Unknown
Senior Rails Developer,0,1,1,Full-time,0,0,GR,Tech,Bachelor
English Teacher Abroad,0,1,1,Contract,0,0,US,Education,Bachelor
Software developer,0,1,1,Full-time,0,0,IN,Tech,Bachelor
Junior Funding Specialist (Sales),0,1,1,Full-time,0,0,GB,Finance,Bachelor
Outside Sales Professional,0,1,0,Unknown,0,0,US,Unknown,Unknown
Media Planner,0,1,1,Full-time,0,0,NZ,Corporate_Services,Unknown
JAVA Solution Architect,0,1,0,Full-time,0,0,BE,Tech,Bachelor
English Teacher Abroad,0,1,1,Contract,0,0,US,Education,Bachelor
Front End Developer,0,0,0,Full-time,0,0,US,Tech,Bachelor
Junior Python Developer,0,1,0,Unknown,0,0,Unspecified,Unknown,Unknown
RMA Coordinator,0,1,0,Full-time,0,0,US,Consumer_Retail,Bachelor
Baby Care Advisor,0,1,0,Full-time,0,0,GB,Consumer_Retail,Unknown
Data Entry Clerk II,0,1,0,Full-time,0,0,US,Consumer_Retail,High School
English Teacher Abroad,0,1,1,Contract,0,0,US,Education,Bachelor
Customer Service Associate,0,1,0,Full-time,0,0,US,Health_Science,High School
Customer Service Associate - Part Time,0,1,0,Part-time,0,0,US,Consumer_Retail,High School
Engagement Executive,0,1,0,Full-time,0,0,BR,Unknown,Bachelor
Customer Service Associate,0,1,0,Full-time,0,0,US,Consumer_Retail,High School
Customer Service Associate,0,1,0,Full-time,0,0,CA,Education,High School
Recruiter/Recruiting Assistant,0,0,0,Unknown,0,0,US,Unknown,Unknown
IC&E Technician Mt Poso,0,1,1,Full-time,1,0,US,Industrial_Energy,High School
English Teacher Abroad,0,1,1,Contract,0,0,US,Education,Bachelor
Head of Client Services,0,1,0,Full-time,0,0,GB,Tech,Unknown
Junior Systems Administrator,0,1,0,Full-time,0,0,AU,Tech,Unknown
Corporate Sales Director,0,1,0,Full-time,0,0,SA,Unknown,Master/PhD
Service Delivery Manager 2,0,1,0,Full-time,0,0,US,Media_Entertainment,High School
DN4 Apprentice Admin Assistant Under NAS 16-18 Year Olds Only,0,1,1,Full-time,0,0,GB,Unknown,High School
Lead Creative Developer,0,1,1,Unknown,0,0,DK,Unknown,Unknown
English Teacher Abroad,0,1,1,Contract,0,0,US,Education,Bachelor
Customer Service Technical Specialist,0,1,0,Full-time,0,0,US,Education,High School
Settlements Analyst,0,1,0,Full-time,0,0,GB,Finance,Bachelor
English Teacher Abroad,0,1,1,Contract,0,0,US,Education,Bachelor
Telesales,0,0,0,Full-time,0,0,GB,Education,Unknown
Branch Associate,0,1,1,Full-time,0,0,US,Finance,High School
Service Desk (Help Desk/ Desktop Support) Tier 1/2 - Healthcare IT,0,0,0,Full-time,0,0,US,Tech,Associate/Vocational
Customer Service Associate,0,1,0,Full-time,0,0,US,Corporate_Services,High School
English Teacher Abroad,0,1,1,Contract,0,0,US,Education,Bachelor
Business Admin Apprenticeship Under NAS 16-18 Year Olds Only,0,1,1,Full-time,0,0,GB,Unknown,High School
Web Support Specialist,0,1,0,Full-time,0,0,GB,Tech,Bachelor
Postgraduate Certificate in Social Innovation Management Kenya - March 2015,0,1,1,Unknown,0,0,Unspecified,Unknown,Unknown
WF5 9HF Recruitment Apprenticeship Available Under NAS 16-24 year olds only!,0,1,0,Unknown,0,0,GB,Unknown,High School
SharePoint Developer and Administrator,0,1,0,Contract,0,0,US,Tech,Bachelor
English Teacher Abroad,0,1,1,Contract,0,0,US,Education,Bachelor
Nanny,0,1,1,Full-time,0,0,RU,Education,Unknown
"Production Supervisor - Chemical Manufacturing Exp - St. Louis, MO",0,0,0,Full-time,0,0,US,Unknown,Unknown
Customer Service Associate,0,1,0,Full-time,0,0,US,Finance,High School
Investor Sales Analyst,0,1,1,Full-time,0,0,GB,Finance,Bachelor
Area Vehicle Purchaser,0,0,1,Full-time,0,0,GB,Industrial_Energy,Unknown
English Teacher Overseas,0,1,0,Contract,0,0,ZA,Education,Bachelor
Senior Industrial Hygiene Project Manager,0,0,0,Unknown,0,0,US,Unknown,Unknown
Junior Funding Specialist (Sales),0,1,1,Full-time,0,0,GB,Finance,Bachelor
English Teacher Abroad,0,1,1,Contract,0,0,US,Education,Bachelor
Head of Communications,0,1,1,Full-time,0,0,GB,Finance,Bachelor
Head of Investor Development,0,1,1,Full-time,0,0,GB,Finance,Bachelor
IT Engineer,0,1,0,Full-time,0,0,GB,Unknown,Unknown
Helpdesk Specialist,0,1,0,Full-time,0,0,NZ,Tech,Unknown
Senior Product Manager,0,1,0,Full-time,0,0,GB,Tech,Bachelor
Food Quality,0,0,0,Full-time,0,0,US,Unknown,Unknown
Graduates: English Teacher Abroad,0,1,0,Contract,0,0,US,Education,Bachelor
CNC Programmer,0,0,0,Full-time,0,0,US,Unknown,Unknown
Risk Analyst,0,1,1,Full-time,0,0,GB,Finance,Bachelor
Content Marketer,0,1,0,Full-time,0,0,US,Tech,Unknown
Executive Assistant / Office Manager,0,1,0,Full-time,0,0,US,Tech,Unknown
Driver II,0,1,0,Full-time,0,0,US,Finance,High School
Product Strategist,0,0,1,Full-time,0,0,US,Tech,Unknown
Chelmsford Customer Service Apprenticeship Under NAS 16-18 Year Olds Only,0,1,1,Unknown,0,0,GB,Unknown,High School
Data Entry/Customer Service Rep,0,0,1,Full-time,0,0,US,Unknown,High School
Senior Loan Originator,0,1,1,Full-time,0,0,US,Finance,Unknown
WF4 4DS Customer Service Apprenticeship Under NAS 16-18 Year Olds Only,0,1,0,Full-time,0,0,GB,Unknown,High School
Senior Programme Analyst,0,0,0,Contract,0,0,US,Tech,Unknown
Office Manager/Executive Assistant,0,1,0,Unknown,0,0,US,Unknown,Unknown
Assistant Retail Manager -- Must LOVE Dogs,0,0,0,Unknown,0,0,US,Unknown,Unknown
Customer Service Associate,0,1,0,Full-time,0,0,US,Finance,High School
Front-end Developer,0,1,0,Full-time,0,0,GR,Tech,Unknown
English Teacher Abroad,0,1,1,Contract,0,0,US,Education,Bachelor
Security Researcher,0,1,0,Unknown,0,0,US,Unknown,Unknown
Job Fair - Multiple Oil & Gas Jobs!,0,1,0,Full-time,0,0,US,Industrial_Energy,Unknown
Regional Field Sales Representative,0,0,0,Full-time,0,0,US,Corporate_Services,Unknown
English Teacher Abroad,0,1,1,Contract,0,0,US,Education,Bachelor
Certification & HALT testing Manager,0,1,1,Full-time,0,0,DE,Unknown,Unknown
"Software Engineer, iOS and Android",0,1,1,Full-time,0,0,CY,Tech,Master/PhD
Account Executive,0,1,0,Full-time,0,0,US,Tech,Bachelor
Automated Test Analyst,0,1,1,Full-time,0,0,NZ,Tech,Unknown
Graduates: English Teacher Abroad,0,1,0,Contract,0,0,US,Education,Bachelor
Account Manager - New York City,0,1,1,Full-time,0,0,US,Tech,Bachelor
English Teacher Abroad,0,1,1,Contract,0,0,US,Education,Bachelor
"Director, PMO",0,1,1,Full-time,0,0,US,Tech,Bachelor
"Full-Time Caregiver (Position B) for Easygoing, Caring Woman ",0,1,1,Full-time,0,0,US,Unknown,Unknown
Account Manager,0,1,0,Full-time,0,0,US,Tech,Bachelor
English Teacher Abroad,0,1,1,Contract,0,0,US,Education,Bachelor
Jr Account Executive,0,1,0,Full-time,0,0,US,Tech,Unknown
Manchester Apprentice Office Administrator Under NAS 16-18 Year Olds Only,0,1,1,Full-time,0,0,GB,Unknown,High School
Product Designer,0,1,1,Full-time,0,0,US,Tech,Bachelor
Outside Sales Professional,0,1,0,Unknown,0,0,US,Unknown,Unknown
"Intern with Google, Microsoft, Facebook and more! at Studyhall.com",1,1,1,Unknown,0,0,US,Tech,Bachelor
Data Scientist,0,1,0,Unknown,0,0,US,Unknown,Unknown
Financial Accountant,0,1,0,Full-time,0,0,US,Consumer_Retail,Bachelor
English Teacher Abroad,0,1,1,Contract,0,0,US,Education,Bachelor
Contact Center Representatives,0,1,0,Full-time,0,0,US,Finance,Unknown
Technical Lead / Architect,0,1,1,Full-time,0,0,GB,Unknown,Bachelor
Digital Illustrator,0,1,1,Full-time,0,0,GB,Media_Entertainment,Bachelor
Battery Expert,0,1,1,Full-time,0,0,DE,Unknown,Unknown
Mobile Applications Developer,0,1,1,Full-time,0,0,US,Tech,Bachelor
Sales Representative with Management Training - DirecTV,0,1,0,Full-time,0,0,US,Consumer_Retail,Unknown
Customer Service Associate - Part Time,0,1,0,Part-time,0,0,US,Consumer_Retail,High School
Receptionist,0,1,0,Full-time,0,0,US,Finance,Unknown
Employee at RhodeCode (Berlin),0,1,0,Full-time,0,0,DE,Tech,Unknown
RNs Needed ASAP - ER & ICU - APPLY NOW!!,0,1,0,Full-time,0,0,US,Health_Science,Unknown
Electrical Project Engineer,0,0,0,Full-time,0,0,US,Industrial_Energy,Bachelor
Litigation Support Analyst,0,1,0,Full-time,0,0,US,Corporate_Services,High School
English Teacher Abroad,0,1,1,Contract,0,0,US,Education,Bachelor
Customer Service Team Lead,0,1,0,Full-time,0,0,US,Finance,High School
Product Manager Mobile Apps (m/w),0,1,1,Full-time,0,0,DE,Logistics_Travel,Unknown
".NET Developer, Hong Kong",0,1,0,Contract,0,0,HK,Finance,Unknown
English Teacher Abroad,0,1,1,Contract,0,0,US,Education,Bachelor
"Production Manager - Video Production, London",0,1,0,Unknown,0,0,GB,Unknown,Unknown
Customer Service Associate - Part Time,0,1,0,Part-time,0,0,US,Finance,High School
"Sales Manager, Hong Kong",0,1,0,Full-time,0,0,HK,Tech,Unknown
English Teacher Abroad,0,1,1,Contract,0,0,US,Education,Bachelor
International Recruitment Manager,0,1,0,Full-time,0,0,EG,Unknown,Bachelor
Project Manager,0,1,1,Full-time,0,0,US,Tech,Bachelor
Head of Sales (India),0,1,1,Full-time,0,0,IN,Unknown,Unknown
Account Manager,0,1,1,Full-time,0,0,GB,Tech,Bachelor
Implementation Executive - Digital,0,1,1,Full-time,0,0,AU,Media_Entertainment,Bachelor
Engineering Graduate Trainee @ Upstream,0,1,0,Full-time,0,0,GR,Unknown,Bachelor
BI / Analytics Lead,0,1,0,Full-time,0,0,GB,Media_Entertainment,Unknown
General Manager | Managing Partner,0,1,0,Full-time,0,0,US,Health_Science,Unknown
Quality Assurance Tester,0,1,0,Full-time,0,0,US,Corporate_Services,Bachelor
Partnership Manager - High Growth Specialty Finance Company,0,1,0,Full-time,0,0,US,Finance,Bachelor
Strategy Planning Supervisor with Direct Response,0,1,0,Full-time,0,0,US,Corporate_Services,Bachelor
Head of Quality Assurance,0,1,0,Unknown,0,0,Unspecified,Unknown,Unknown
English Teacher Abroad,0,1,1,Contract,0,0,US,Education,Bachelor
Senior Frontend Developer,0,1,1,Full-time,0,0,GR,Tech,Bachelor
English Teacher Abroad,0,1,1,Contract,0,0,US,Education,Bachelor
Digital and Social Marketing Specialist,0,1,1,Full-time,0,0,US,Tech,Bachelor
Graduates: English Teacher Abroad,0,1,0,Contract,0,0,US,Education,Bachelor
Application Security Consultant,0,1,0,Unknown,0,0,US,Unknown,Unknown
TwiML Application Developer - Freelance (Contract),1,1,1,Contract,0,0,US,Unknown,Unknown
Senior Customer Care Advisor,0,1,0,Full-time,0,0,TR,Tech,Bachelor
IT Consultant/Engineer Position Available,0,1,0,Full-time,0,0,US,Tech,Unknown
Product Marketing Manager/Director,0,1,0,Unknown,0,0,US,Unknown,Unknown
Sales Trainee,0,1,0,Unknown,0,0,BE,Tech,High School
Customer Service Associate,0,1,0,Full-time,0,0,US,Corporate_Services,High School
Graduates: English Teacher Abroad (Conversational),0,1,1,Contract,0,0,US,Education,Bachelor
Principal Security Consultant / Penetration Tester,0,1,0,Unknown,0,0,US,Unknown,Unknown
Account Manager -Xbox,0,1,1,Full-time,0,0,GB,Corporate_Services,Unknown
GPS/GNSS signal processing,0,1,1,Temporary,0,0,US,Unknown,Unknown
Farmer Experience Manager,0,1,0,Full-time,0,0,US,Unknown,Bachelor
Quality Assurance (QA) Engineer,0,1,0,Full-time,0,0,GR,Unknown,Bachelor
